description,base_lorom,base_file_offset,plm_id,plm_name,x,y,param,file_offset,plm_description
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,23,13,8000,078116,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,24,13,8000,07811C,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,25,13,8000,078122,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,22,11,9396,078128,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,23,11,8000,07812E,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,24,11,8000,078134,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,25,11,8000,07813A,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,14,9,9399,078140,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B647,,14,8,8000,078146,Upwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B647,,14,7,8000,07814C,Upwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,28,10,939C,078152,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B647,,28,9,8000,078158,Upwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B647,,28,8,8000,07815E,Upwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B647,,28,7,8000,078164,Upwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B647,,28,6,8000,07816A,Upwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B647,,28,5,8000,078170,Upwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,50,11,939F,078176,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,60,11,939F,07817C,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,58,17,93A2,078182,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,59,17,8000,078188,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,60,17,8000,07818E,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,61,17,8000,078194,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B63B,,62,17,8000,07819A,Rightwards extension
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,52,14,93A5,0781A0,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,DB44,,8,8,000A,0781A6,Sets Metroids cleared states when required
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,C848,,1,6,9006,0781AC,Door. Grey door facing right
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,C848,,17,38,9007,0781B2,Door. Grey door facing right
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,C848,,17,54,9008,0781B8,Door. Grey door facing right
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,C842,,30,54,9009,0781BE,Door. Grey door facing left
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,C84E,,22,77,900A,0781C4,Door. Grey door facing up
; Room $93AA. Landing site power bombs cave,8F:81CC,0781CC,EEE3,,29,7,0000,0781CC,Power bomb tank
; Room $93D5. Crateria save station,8F:81D4,0781D4,B76F,,5,11,0001,0781D4,Save station
; Room $93FE. Wrecked Ship entrance,8F:81DC,0781DC,C842,,94,54,900B,0781DC,Door. Grey door facing left
; Room $93FE. Wrecked Ship entrance,8F:81DC,0781DC,C872,,126,70,000C,0781E2,Door. Green door facing left
; Room $93FE. Wrecked Ship entrance,8F:81DC,0781DC,EEDB,,2,91,0001,0781E8,Missile tank
; Room $93FE. Wrecked Ship entrance,8F:81DC,0781DC,EF83,,28,3,0002,0781EE,"Missile tank, shot block"
; Room $93FE. Wrecked Ship entrance,8F:81DC,0781DC,EEDB,,1,47,0003,0781F4,Missile tank
; Room $9461. Pre orange zoomer hall,8F:81FC,0781FC,B63B,,24,15,8000,078214,Rightwards extension
; Room $9461. Pre orange zoomer hall,8F:81FC,0781FC,B703,,22,12,94C7,07821A,Scroll PLM
; Room $9461. Pre orange zoomer hall,8F:81FC,0781FC,B63B,,23,12,8000,078220,Rightwards extension
; Room $9461. Pre orange zoomer hall,8F:81FC,0781FC,B63B,,24,12,8000,078226,Rightwards extension
; Room $9461. Pre orange zoomer hall,8F:81FC,0781FC,B63B,,25,12,8000,07822C,Rightwards extension
; Room $9461. Pre orange zoomer hall,8F:81FC,0781FC,C85A,,46,6,000D,078232,Door. Yellow door facing left
; Room $9461. Pre orange zoomer hall,8F:81FC,0781FC,C866,,22,45,000E,078238,Door. Yellow door facing up
; Room $948C. Pre moat room,8F:81FE,0781FE,B703,,23,15,94C2,0781FE,Scroll PLM
; Room $948C. Pre moat room,8F:81FE,0781FE,B63B,,24,15,8000,078204,Rightwards extension
; Room $948C. Pre moat room,8F:81FE,0781FE,B703,,22,12,94C7,07820A,Scroll PLM
; Room $948C. Pre moat room,8F:81FE,0781FE,B63B,,23,12,8000,078210,Rightwards extension
; Room $948C. Pre moat room,8F:81FE,0781FE,B63B,,24,12,8000,078216,Rightwards extension
; Room $948C. Pre moat room,8F:81FE,0781FE,B63B,,25,12,8000,07821C,Rightwards extension
; Room $948C. Pre moat room,8F:81FE,0781FE,C85A,,46,6,000D,078222,Door. Yellow door facing left
; Room $948C. Pre moat room,8F:81FE,0781FE,C866,,22,45,000E,078228,Door. Yellow door facing up
; Room $94CC. Crateria -> Maridia elevator,8F:8230,078230,B703,,8,13,94FA,078230,Scroll PLM
; Room $95A8. Forgotten highway elbow,8F:823E,07823E,C866,,6,13,000F,07823E,Door. Yellow door facing up
; Room $95FF. Moat,8F:8248,078248,EEDB,,14,9,0004,078248,Missile tank
; Room $962A. Crateria -> Red Brinstar elevator,8F:8250,078250,B703,,8,13,9658,078250,Scroll PLM
; Room $962A. Crateria -> Red Brinstar elevator,8F:8250,078250,C86C,,6,2,0010,078256,Door. Yellow door facing down
; Room $965B. Gauntlet west,8F:825E,07825E,B703,,84,12,968C,07825E,Scroll PLM
; Room $965B. Gauntlet west,8F:825E,07825E,EED7,,83,8,0005,078264,Energy tank
; Room $968F. Orange zoomer hall,8F:826C,07826C,B703,,32,5,9744,07828A,Scroll PLM
; Room $968F. Orange zoomer hall,8F:826C,07826C,B703,,29,118,974D,078290,Scroll PLM
; Room $968F. Orange zoomer hall,8F:826C,07826C,B703,,32,118,974A,078296,Scroll PLM
; Room $968F. Orange zoomer hall,8F:826C,07826C,B63F,,18,133,8000,07829C,Leftwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B63F,,19,133,8000,0782A2,Leftwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,20,133,8000,0782A8,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,20,134,8000,0782AE,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,20,135,8000,0782B4,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,20,136,8000,0782BA,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B703,,20,137,9753,0782C0,Scroll PLM
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,15,134,8000,0782C6,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,15,135,8000,0782CC,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,15,136,8000,0782D2,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B703,,15,137,9750,0782D8,Scroll PLM
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,13,134,8000,0782DE,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,13,135,8000,0782E4,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,13,136,8000,0782EA,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B703,,13,137,9756,0782F0,Scroll PLM
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,8,134,8000,0782F6,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,8,135,8000,0782FC,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B647,,8,136,8000,078302,Upwards extension
; Room $968F. Orange zoomer hall,8F:826C,07826C,B703,,8,137,9759,078308,Scroll PLM
; Room $968F. Orange zoomer hall,8F:826C,07826C,C842,,46,6,9011,07830E,Door. Grey door facing left
; Room $968F. Orange zoomer hall,8F:826C,07826C,C848,,1,134,9012,078314,Door. Grey door facing right
; Room $968F. Orange zoomer hall,8F:826C,07826C,C85A,,46,118,0013,07831A,Door. Yellow door facing left
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,29,5,9747,07826E,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,32,5,9744,078274,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,29,118,974D,07827A,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,32,118,974A,078280,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B63F,,18,133,8000,078286,Leftwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B63F,,19,133,8000,07828C,Leftwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,20,133,8000,078292,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,20,134,8000,078298,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,20,135,8000,07829E,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,20,136,8000,0782A4,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,20,137,9753,0782AA,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,15,134,8000,0782B0,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,15,135,8000,0782B6,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,15,136,8000,0782BC,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,15,137,9750,0782C2,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,13,134,8000,0782C8,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,13,135,8000,0782CE,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,13,136,8000,0782D4,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,13,137,9756,0782DA,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,8,134,8000,0782E0,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,8,135,8000,0782E6,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B647,,8,136,8000,0782EC,Upwards extension
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,B703,,8,137,9759,0782F2,Scroll PLM
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,C842,,46,6,9011,0782F8,Door. Grey door facing left
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,C848,,1,134,9012,0782FE,Door. Grey door facing right
"; Room $96BA, state $96EB. Old Tourian escape shaft - event ""Zebes is awake"" is set",8F:826E,07826E,C85A,,46,118,0013,078304,Door. Yellow door facing left
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,29,5,9747,07830C,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,32,5,9744,078312,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,29,118,974D,078318,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,32,118,974A,07831E,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B63F,,18,133,8000,078324,Leftwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B63F,,19,133,8000,07832A,Leftwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,20,133,8000,078330,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,20,134,8000,078336,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,20,135,8000,07833C,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,20,136,8000,078342,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,20,137,9753,078348,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,15,134,8000,07834E,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,15,135,8000,078354,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,15,136,8000,07835A,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,15,137,9750,078360,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,13,134,8000,078366,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,13,135,8000,07836C,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,13,136,8000,078372,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,13,137,9756,078378,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,8,134,8000,07837E,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,8,135,8000,078384,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B647,,8,136,8000,07838A,Upwards extension
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,B703,,8,137,9759,078390,Scroll PLM
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,DB44,,8,8,000C,078396,Sets Metroids cleared states when required
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,C842,,46,6,9014,07839C,Door. Grey door facing left
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,C842,,46,118,9015,0783A2,Door. Grey door facing left
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,C842,,30,134,9016,0783A8,Door. Grey door facing left
"; Room $96BA, state $9705. Old Tourian escape shaft - event ""Zebes timebomb set"" is set",8F:830C,07830C,C848,,1,134,9017,0783AE,Door. Grey door facing right
"; Room $975C, state $976D. Old Mother Brain room - default",8F:83B6,0783B6,B703,,4,15,97AB,0783B6,Scroll PLM
"; Room $975C, state $976D. Old Mother Brain room - default",8F:83B6,0783B6,B703,,6,15,97AB,0783BC,Scroll PLM
"; Room $975C, state $976D. Old Mother Brain room - default",8F:83B6,0783B6,B703,,5,9,97B0,0783C2,Scroll PLM
"; Room $975C, state $976D. Old Mother Brain room - default",8F:83B6,0783B6,C848,,1,6,9018,0783C8,Door. Grey door facing right
"; Room $975C, state $9787. Old Mother Brain room - morph ball and missiles have been collected",8F:83D0,0783D0,B703,,4,15,97AB,0783D0,Scroll PLM
